,destination_id_YKR_1,On-site workers_1,index_YKR_1,_merge_1,destination_id_YKR_2,On-site workers_2,index_YKR_2,_merge_2,absolute_change,percentage_change,geometry
72,749213.0,79.81,42616038,both,749213.0,114.0,42616038,both,34.19,0.42839243202606186,"POLYGON ((24.982997210498503 60.144823019745964, 24.98285978271043 60.14706639396792, 24.98735907889145 60.14713484544716, 24.98749620064742 60.14489146504867, 24.982997210498503 60.144823019745964))"
73,749214.0,34.86,42702370,both,749214.0,40.0,42702370,both,5.140000000000001,0.1474469305794607,"POLYGON ((24.98749620064742 60.14489146504867, 24.98735907889145 60.14713484544716, 24.991858396833653 60.14720314418113, 24.991995212552656 60.144959757619894, 24.98749620064742 60.14489146504867))"
74,749225.0,46.98,43019892,both,749225.0,69.0,43019892,both,22.020000000000003,0.4687100893997447,"POLYGON ((25.036986517542093 60.14563428277722, 25.03685276245777 60.14787773020935, 25.04135231657398 60.14794434864913, 25.041485765568567 60.14570089520562, 25.036986517542093 60.14563428277722))"
75,751837.0,1.39,42376467,both,751837.0,3.0,42376467,both,1.61,1.1582733812949642,"POLYGON ((24.64098063095073 60.14141726543872, 24.640819934281506 60.14366012899292, 24.645317740598426 60.14374019179204, 24.64547813158827 60.14149732101578, 24.64098063095073 60.14141726543872))"
76,751838.0,5.67,42377557,both,751838.0,8.0,42377557,both,2.33,0.41093474426807763,"POLYGON ((24.64547813158827 60.14149732101578, 24.645317740598426 60.14374019179204, 24.64981557236106 60.14382010195328, 24.649975657665838 60.14157722396866, 24.64547813158827 60.14149732101578))"
77,751839.0,24.62,42391600,both,751839.0,30.0,42391600,both,5.379999999999999,0.2185215272136474,"POLYGON ((24.649975657665838 60.14157722396866, 24.64981557236106 60.14382010195328, 24.654313429521043 60.14389985947489, 24.654473209135087 60.14165697429566, 24.649975657665838 60.14157722396866))"
78,751840.0,7.79,42393284,both,751840.0,11.0,42393284,both,3.21,0.4120667522464698,"POLYGON ((24.654473209135087 60.14165697429566, 24.654313429521043 60.14389985947489, 24.65881131203003 60.143979464355176, 24.658970785947677 60.14173657199507, 24.654473209135087 60.14165697429566))"
79,751842.0,16.12,42395158,both,751842.0,22.0,42395158,both,5.879999999999999,0.36476426799007433,"POLYGON ((24.663468388055257 60.141816017065146, 24.66330921983965 60.1440589165924, 24.667807152901553 60.144138216184885, 24.667966015409473 60.14189530950424, 24.663468388055257 60.141816017065146))"
80,751843.0,95.73,42368053,both,751843.0,110.0,42368053,both,14.269999999999996,0.14906507886764855,"POLYGON ((24.667966015409473 60.14189530950424, 24.667807152901553 60.144138216184885, 24.672305111167375 60.144217363130906, 24.672463667961978 60.14197444931058, 24.667966015409473 60.14189530950424))"
81,751844.0,5.78,42396840,both,751844.0,7.0,42396840,both,1.2199999999999998,0.21107266435986155,"POLYGON ((24.672463667961978 60.14197444931058, 24.672305111167375 60.144217363130906, 24.676803094588745 60.144296357428765, 24.676961345664413 60.142053436482534, 24.672463667961978 60.14197444931058))"
